Batch size,Device,Model,Latency per batch [ms],Static power [W],Experiment power [W],Dynamic power [W],Energy per inference [mJ],Energy Delay Product (uJs)
1,Titan V,TF LSTM,48.8193,36.162868,42.343573,6.180705,2067.183593,100918.456
50,Titan V,TF LSTM,49.3857,35.678626,45.724006,10.04538,45.16224086,2230.368879
100,Titan V,TF LSTM,58.2066,36.54,52.299284,15.759284,30.44163504,1771.904074
200,Titan V,TF LSTM,67.0051,36.308249,59.825163,23.516914,20.04295515,1342.980214
400,Titan V,TF LSTM,71.7719,35.993138,68.554318,32.56118,12.30068414,882.843472
800,Titan V,TF LSTM,79.4993,35.685401,85.094648,49.409247,8.456206187,672.2624725
1,Intel Core i5-7440HQ,TF LSTM,83.15,2.04,20.926,18.886,1739.9969,144680.7422
1,Loihi,LSNN,14.11,0.00059,0.02583,0.02524,0.3644613,5.142548943
1,Titan V,GeNN LSNN (256 ALIF),6.865539,35.447139,40.670515,5.223376,279.2250069,1917.030175
50,Titan V,GeNN LSNN (256 ALIF),9.24247,35.352193,45.724006,10.371813,8.452055075,78.11786547
100,Titan V,GeNN LSNN (256 ALIF),11.714659,35.516559,58.579191,23.062632,6.862352471,80.39011913
200,Titan V,GeNN LSNN (256 ALIF),14.696461,38.358533,71.478558,33.120025,5.2524092,77.19182696
400,Titan V,GeNN LSNN (256 ALIF),22.693978,36.108933,87.371558,51.262625,4.957020538,112.494515
800,Titan V,GeNN LSNN (256 ALIF),49.039849,40.81992,92.284651,51.464731,5.657031688,277.4199797
1,Intel Core i5-9400F,GeNN LSNN (256 ALIF),4.095336,5.834206,26.319061,20.484855,107.785398,441.4174207